i,centro_x,centro_y,radio,color_r,color_g,color_b
327,86.5,14.5,2.26,104.0,104.0,104.0
328,90.5,14.5,2.26,101.0,101.0,101.0
329,94.5,14.5,2.26,100.0,100.0,100.0
330,98.5,14.5,2.26,94.0,94.0,94.0
331,102.42,14.89,2.46,82.0,82.0,82.0
332,106.71,14.29,2.33,84.0,84.0,84.0
333,110.55,14.36,1.87,126.0,126.0,126.0
334,114.44,14.62,2.26,194.0,194.0,194.0
335,126.5,14.5,2.26,229.0,229.0,229.0
336,130.5,14.5,2.26,230.0,230.0,230.0
337,134.5,14.5,2.26,232.0,232.0,232.0
338,138.5,14.5,2.26,229.0,229.0,229.0
339,142.5,14.5,2.26,230.0,230.0,230.0
340,146.5,14.5,2.26,222.0,222.0,222.0
341,150.5,14.5,2.26,218.0,218.0,218.0
342,154.5,14.5,2.26,222.0,222.0,222.0
343,158.5,14.5,2.26,220.0,220.0,220.0
344,162.5,14.5,2.26,227.0,227.0,227.0
345,166.5,14.5,2.26,228.0,228.0,228.0
346,170.5,14.5,2.26,231.0,231.0,231.0
347,174.5,14.5,2.26,233.0,233.0,233.0
348,178.5,14.5,2.26,231.0,231.0,231.0
349,182.5,14.5,2.26,235.0,235.0,235.0
350,186.5,14.5,2.26,235.0,235.0,235.0
351,190.5,14.5,2.26,235.0,235.0,235.0
352,194.5,14.5,2.26,234.0,234.0,234.0
353,198.5,14.5,2.26,223.0,223.0,223.0
354,202.5,14.5,2.26,210.0,210.0,210.0
355,210.5,14.5,2.26,172.0,172.0,172.0
356,214.5,14.5,2.26,203.0,203.0,203.0
357,218.5,14.5,2.26,216.0,216.0,216.0
358,222.5,14.5,2.26,217.0,217.0,217.0
359,230.5,14.5,2.26,219.0,219.0,219.0
360,234.46,15.0,2.03,197.0,197.0,197.0
361,238.44,14.38,2.26,141.0,141.0,141.0
362,242.5,14.5,2.26,119.0,119.0,119.0
363,246.61,14.78,2.39,110.0,110.0,110.0
364,250.5,14.5,2.26,105.0,105.0,105.0
365,254.5,14.5,2.26,109.0,109.0,109.0
366,258.5,14.5,2.26,108.0,108.0,108.0
367,262.5,14.5,2.26,109.0,109.0,109.0
368,266.5,14.5,2.26,112.0,112.0,112.0
369,270.5,14.5,2.26,111.0,111.0,111.0
370,274.5,14.5,2.26,105.0,105.0,105.0
371,278.5,14.5,2.26,109.0,109.0,109.0
372,282.5,14.5,2.26,112.0,112.0,112.0
373,286.5,14.5,2.26,115.0,115.0,115.0
374,290.5,14.5,2.26,112.0,112.0,112.0
375,294.5,14.5,2.26,114.0,114.0,114.0
376,298.5,14.5,2.26,115.0,115.0,115.0
377,302.5,14.5,2.26,116.0,116.0,116.0
378,306.5,14.5,2.26,119.0,119.0,119.0
379,310.5,14.5,2.26,118.0,118.0,118.0
380,314.5,14.5,2.26,115.0,115.0,115.0
381,318.5,14.5,2.26,116.0,116.0,116.0
382,322.5,14.5,2.26,120.0,120.0,120.0
383,326.5,14.5,2.26,117.0,117.0,117.0
384,330.5,14.5,2.26,112.0,112.0,112.0
385,334.5,14.5,2.26,115.0,115.0,115.0
386,338.5,14.5,2.26,121.0,121.0,121.0
387,342.5,14.5,2.26,115.0,115.0,115.0
388,346.5,14.5,2.26,117.0,117.0,117.0
389,350.5,14.5,2.26,119.0,119.0,119.0
390,354.5,14.5,2.26,121.0,121.0,121.0
391,358.5,14.5,2.26,117.0,117.0,117.0
392,362.5,14.5,2.26,117.0,117.0,117.0
393,366.5,14.5,2.26,119.0,119.0,119.0
394,370.5,14.5,2.26,118.0,118.0,118.0
395,374.5,14.5,2.26,118.0,118.0,118.0
396,378.5,14.5,2.26,117.0,117.0,117.0
397,382.5,14.5,2.26,122.0,122.0,122.0
398,386.5,14.5,2.26,120.0,120.0,120.0
399,390.5,14.5,2.26,121.0,121.0,121.0
400,394.5,14.5,2.26,125.0,125.0,125.0
401,398.5,14.5,2.26,122.0,122.0,122.0
402,402.0,14.5,1.95,119.0,119.0,119.0
403,110.58,18.11,2.46,207.0,207.0,207.0
404,2.0,18.5,2.52,100.0,100.0,100.0
405,6.5,18.5,2.26,101.0,101.0,101.0
406,10.5,18.5,2.26,102.0,102.0,102.0
407,14.5,18.5,2.26,105.0,105.0,105.0
408,18.5,18.5,2.26,103.0,103.0,103.0
409,22.5,18.5,2.26,103.0,103.0,103.0
410,26.5,18.5,2.26,101.0,101.0,101.0
411,30.5,18.5,2.26,97.0,97.0,97.0
412,34.5,18.5,2.26,100.0,100.0,100.0
413,38.5,18.5,2.26,102.0,102.0,102.0
414,42.5,18.5,2.26,101.0,101.0,101.0
415,46.5,18.5,2.26,100.0,100.0,100.0
416,50.5,18.5,2.26,103.0,103.0,103.0
417,54.5,18.5,2.26,103.0,103.0,103.0
418,58.5,18.5,2.26,99.0,99.0,99.0
419,62.5,18.5,2.26,97.0,97.0,97.0
420,66.5,18.5,2.26,98.0,98.0,98.0
421,70.5,18.5,2.26,107.0,107.0,107.0
422,74.5,18.5,2.26,108.0,108.0,108.0
423,78.5,18.5,2.26,104.0,104.0,104.0
424,82.5,18.5,2.26,101.0,101.0,101.0
425,86.5,18.5,2.26,100.0,100.0,100.0
