i,centro_x,centro_y,radio,color_r,color_g,color_b
425,345.5,27.5,3.39,254.0,254.0,254.0
426,351.5,27.5,3.39,254.0,255.0,254.0
427,357.5,27.5,3.39,255.0,255.0,255.0
428,363.5,27.5,3.39,255.0,255.0,255.0
429,369.5,27.5,3.39,255.0,255.0,255.0
430,375.5,27.5,3.39,255.0,255.0,255.0
431,381.5,27.5,3.39,255.0,255.0,255.0
432,387.5,27.5,3.39,255.0,255.0,255.0
433,393.5,27.5,3.39,255.0,255.0,255.0
434,399.5,27.5,3.39,255.0,255.0,255.0
435,405.5,27.5,3.39,255.0,255.0,255.0
436,411.5,27.5,3.39,255.0,255.0,255.0
437,417.5,27.5,3.39,255.0,255.0,255.0
438,423.5,27.5,3.39,255.0,255.0,255.0
439,429.5,27.5,3.39,255.0,255.0,255.0
440,435.5,27.5,3.39,255.0,255.0,255.0
441,441.5,27.5,3.39,255.0,255.0,255.0
442,447.5,27.5,3.39,255.0,255.0,255.0
443,453.5,27.5,3.39,255.0,255.0,255.0
444,459.5,27.5,3.39,255.0,255.0,255.0
445,465.5,27.5,3.39,255.0,255.0,255.0
446,471.5,27.5,3.39,255.0,255.0,255.0
447,477.5,27.5,3.39,255.0,255.0,255.0
448,483.5,27.5,3.39,255.0,255.0,255.0
449,489.5,27.5,3.39,255.0,255.0,255.0
450,495.5,27.5,3.39,255.0,255.0,255.0
451,501.5,27.5,3.39,255.0,255.0,255.0
452,507.5,27.5,3.39,255.0,255.0,255.0
453,513.5,27.5,3.39,255.0,255.0,255.0
454,519.5,27.5,3.39,255.0,255.0,255.0
455,525.5,27.5,3.39,255.0,255.0,255.0
456,531.5,27.5,3.39,255.0,255.0,255.0
457,537.5,27.5,3.39,255.0,255.0,255.0
458,543.5,27.5,3.39,255.0,255.0,255.0
459,549.5,27.5,3.39,255.0,255.0,255.0
460,555.5,27.5,3.39,255.0,255.0,255.0
461,560.5,27.5,2.76,255.0,255.0,255.0
462,231.29,32.85,3.91,199.0,51.0,52.0
463,225.08,32.92,2.76,186.0,76.0,77.0
464,267.87,32.26,3.48,200.0,41.0,37.0
465,274.77,32.57,3.34,189.0,46.0,49.0
466,309.5,33.0,3.66,192.0,37.0,31.0
467,321.76,33.11,3.78,200.0,39.0,46.0
468,328.32,33.0,3.29,192.0,61.0,68.0
469,3.0,33.5,3.66,255.0,255.0,255.0
470,9.5,33.5,3.39,255.0,255.0,255.0
471,15.5,33.5,3.39,255.0,255.0,255.0
472,21.5,33.5,3.39,255.0,255.0,255.0
473,27.5,33.5,3.39,255.0,255.0,255.0
474,33.5,33.5,3.39,255.0,255.0,255.0
475,39.5,33.5,3.39,255.0,255.0,255.0
476,45.5,33.5,3.39,255.0,255.0,255.0
477,51.5,33.5,3.39,255.0,255.0,255.0
478,57.5,33.5,3.39,255.0,255.0,255.0
